time_ms,p0,scenario,mo_diff
102285,720,1,0
102374,716,1,20
102427,716,1,4
102478,715,1,20
102530,715,1,8
102582,714,1,8
102758,716,1,4
102810,715,1,24
102862,715,1,12
102914,714,1,16
102966,714,1,24
103018,716,1,12
103070,717,1,12
103211,715,1,20
103262,714,1,4
103358,716,1,16
103410,715,1,12
103462,714,1,8
103602,715,1,24
103655,716,1,16
103706,716,1,16
103758,716,1,8
103810,715,1,8
103862,713,1,16
104002,716,1,8
104054,716,1,16
104106,716,1,16
104158,716,1,16
104210,714,1,20
104262,715,1,12
104317,714,1,12
104526,715,1,28
104578,714,1,32
104718,715,1,12
104770,715,1,16
104823,717,1,12
104874,717,1,20
105094,715,1,20
105146,714,1,12
105198,714,1,8
105250,714,1,8
105302,715,1,20
105354,716,1,20
105406,716,1,24
105698,714,1,28
105750,714,1,12
105802,714,1,8
105958,716,1,8
106030,715,1,0
106082,714,1,8
106134,714,1,12
106186,715,1,8
106238,716,1,16
106290,717,1,24
106342,716,1,12
106394,716,1,16
106446,715,1,8
106498,714,1,20
106550,714,1,24
106602,714,1,8
106847,715,1,24
106902,715,1,20
107042,716,1,16
107182,714,1,8
107474,716,1,16
107526,716,1,16
107666,714,1,12
107718,714,1,4
107770,715,1,16
107823,715,1,12
107874,716,1,20
107926,716,1,12
107978,715,1,8
108118,714,1,8
108170,715,1,12
108222,715,1,12
108274,716,1,12
108414,714,1,12
108467,714,1,12
108518,715,1,24
108702,714,1,20
108842,716,1,16
108894,716,1,8
108946,716,1,16
109086,714,1,12
109226,716,1,24
109278,715,1,4
109330,715,1,20
109382,714,1,16
109434,714,1,32
109486,714,1,16
109538,715,1,4
109789,714,1,12
109842,716,1,24
109894,716,1,20
109946,716,1,4
110042,716,1,8
110094,716,1,8
110146,716,1,0
110370,714,1,8
110510,716,1,16
110562,715,1,20
110614,716,1,28
110754,714,1,28
110806,715,1,12
110858,716,1,16
110910,717,1,16
111050,715,1,24
111102,714,1,16
111154,714,1,8
111294,716,1,20
111347,716,1,12
111538,714,1,4
111810,716,1,20
111862,717,1,20
111914,716,1,12
111966,716,1,12
112018,715,1,16
112070,714,1,4
112123,715,1,20
112174,716,1,16
112314,716,1,8
112454,715,1,16
112510,715,1,12
112562,716,1,12
112746,716,1,8
112798,716,1,20
112938,714,1,12
112990,715,1,12
113462,716,1,16
113602,715,1,24
113654,715,1,12
113706,714,1,4
113934,715,1,20
114074,715,1,32
114126,715,1,28
114178,715,1,20
114230,716,1,16
114282,716,1,20
114335,715,1,20
114387,715,1,12
114538,714,1,24
114678,715,1,8
114819,715,1,12
114871,715,1,16
115234,716,1,20
115286,716,1,12
115338,715,1,12
115390,714,1,16
115442,715,1,20
115494,715,1,16
115546,716,1,12
115598,716,1,20
115650,717,1,28
115793,714,1,8
115846,715,1,12
115898,716,1,12
116038,715,1,20
116090,714,1,8
116142,714,1,32
116194,715,1,24
116290,714,1,12
116430,716,1,8
116482,716,1,12
116622,715,1,16
116674,714,1,12
116726,714,1,16
116914,715,1,4
116966,715,1,4
117106,715,1,16
117158,714,1,16
117210,715,1,16
117262,714,1,20
117498,715,1,20
117638,716,1,24
117690,715,1,8
117742,714,1,8
117810,714,1,12
117883,715,1,12
117934,715,1,8
118082,715,1,12
118134,716,1,16
118186,716,1,20
118238,716,1,12
118290,715,1,8
118346,714,1,12
118398,715,1,8
118450,715,1,28
118502,716,1,24
118555,715,1,20
118606,715,1,16
118658,715,1,12
118710,714,1,16
118762,714,1,20
119062,714,1,8
119114,714,1,8
119290,716,1,16
119342,713,1,16
119394,714,1,12
119446,713,1,8
119586,716,1,16
119638,716,1,20
119690,716,1,16
119743,715,1,20
119794,715,1,8
119846,714,1,4
119986,716,1,20
120038,716,1,16
120090,716,1,16
120142,716,1,16
120482,714,1,8
120534,715,1,8
120586,715,1,12
120726,715,1,12
120778,715,1,12
120830,715,1,8
120886,714,1,16
121042,716,1,20
121094,715,1,16
121146,715,1,20
121198,714,1,8
121250,715,1,12
121302,715,1,28
121354,715,1,20
121406,715,1,4
121458,716,1,16
121662,715,1,12
121714,714,1,12
121766,714,1,8
121818,714,1,8
121959,716,1,8
122010,716,1,20
122062,715,1,16
122114,715,1,8
122254,715,1,4
122394,716,1,8
122446,715,1,16
122498,715,1,12
122550,715,1,12
122603,715,1,12
122654,715,1,16
122794,716,1,16
122934,715,1,16
123030,715,1,8
123082,714,1,24
123134,714,1,24
123187,714,1,12
123242,715,1,16
123382,715,1,24
123434,714,1,16
123486,714,1,20
123538,714,1,8
123678,716,1,4
123818,714,1,16
123962,716,1,16
124014,716,1,16
124066,714,1,20
124118,714,1,20
124170,713,1,16
124566,715,1,16
124618,714,1,16
124670,714,1,12
124722,714,1,8
124862,716,1,16
124914,716,1,4
124966,716,1,16
125019,715,1,12
125070,714,1,16
125122,715,1,20
125174,715,1,8
125226,715,1,20
125279,716,1,12
125418,715,1,12
125470,714,1,20
125522,714,1,24
125754,714,1,20
125806,714,1,12
125858,714,1,8
125914,716,1,24
125966,715,1,16
126018,715,1,16
126158,714,1,20
126339,714,1,4
126390,714,1,20
126442,714,1,24
126494,714,1,8
126546,715,1,4
126686,715,1,12
126738,714,1,32
126791,714,1,12
126842,714,1,12
127026,714,1,8
127078,715,1,24
127218,716,1,4
127358,714,1,24
127498,715,1,20
127550,715,1,4
127690,714,1,12
127742,714,1,32
127794,715,1,20
127846,715,1,28
128090,714,1,28
128142,713,1,12
128194,714,1,8
128334,715,1,20
128386,715,1,0
128438,715,1,12
128694,715,1,24
128878,714,1,12
128934,714,1,4
128986,715,1,28
129278,714,1,28
137982,715,2,28
138034,715,2,48
138086,715,2,48
138138,715,2,28
138278,714,2,20
138333,715,2,12
138386,715,2,4
138438,715,2,16
138578,714,2,20
138631,715,2,16
138682,714,2,16
138822,715,2,24
139034,715,2,24
139086,715,2,16
139138,715,2,16
139366,714,2,16
139418,715,2,16
139470,715,2,12
139522,715,2,16
139574,715,2,24
139714,714,2,48
139766,714,2,28
139819,715,2,8
139870,715,2,0
139922,715,2,16
139974,715,2,12
140026,715,2,16
140078,714,2,24
140262,714,2,20
140314,713,2,8
140366,714,2,12
140418,715,2,8
140470,716,2,8
140522,716,2,16
140574,716,2,12
140714,714,2,8
140769,715,2,0
140910,714,2,16
140962,714,2,16
141014,714,2,16
141066,714,2,12
141118,714,2,24
141170,715,2,28
141222,715,2,36
141318,714,2,12
141370,714,2,24
141422,715,2,28
141474,715,2,24
141526,715,2,12
141578,714,2,12
141631,714,2,12
141682,713,2,16
141734,713,2,20
141786,714,2,20
141838,715,2,16
141891,715,2,20
141942,716,2,16
141994,715,2,20
142046,714,2,12
142098,713,2,12
142382,713,2,12
142434,713,2,16
142486,714,2,8
142626,715,2,0
142678,715,2,12
142730,713,2,8
142782,713,2,16
142953,713,2,16
143006,715,2,16
143146,714,2,12
143198,714,2,24
143250,714,2,8
143514,714,2,16
143566,714,2,20
143619,714,2,8
143758,715,2,20
143854,714,2,12
143927,716,2,8
144098,715,2,24
144238,714,2,24
144290,714,2,12
144342,715,2,20
144394,715,2,12
144446,715,2,16
144498,715,2,8
144551,715,2,16
144602,714,2,16
144654,713,2,12
144706,714,2,8
144758,715,2,24
144810,715,2,12
144863,715,2,16
145002,713,2,12
145098,715,2,20
145150,715,2,28
145202,714,2,20
145254,714,2,12
145394,715,2,12
145538,714,2,16
145590,715,2,16
145642,715,2,4
145694,715,2,24
145746,716,2,24
145798,715,2,4
145850,714,2,4
145902,714,2,12
145954,714,2,12
146006,714,2,8
146058,714,2,24
146154,713,2,24
146294,716,2,8
146346,715,2,16
146398,715,2,16
146450,715,2,12
146502,714,2,8
146554,713,2,16
146606,714,2,20
146746,715,2,16
146798,716,2,12
147038,714,2,268
147090,714,2,288
147230,715,2,28
147282,715,2,8
147334,714,2,8
147386,714,2,12
147482,715,2,12
147642,714,2,20
147694,715,2,8
