# 振動モーターしきい値実測 (vibe-duty計測ファーム, P1 PWM 1kHz, 25刻み)
# 起動しきい値: 静止からkickで回り出した最小デューティ = 448
# 維持しきい値: 回転中に下げて273で停止、298で急激に弱化。安定回転は323以上
connected: /dev/cu.usbmodem102
stop 1023                     
run 1023                      
run 998                       
run 973                       
run 948                       
run 923                       
run 898                       
run 873                       
run 848                       
run 823                       
run 798                       
run 773                       
run 748                       
run 723                       
run 698                       
run 673                       
run 648                       
run 623                       
run 598                       
run 573                       
run 548                       
run 523                       
run 498                       
run 473                       
run 448                       
run 423                       
run 398                       
run 373                       
run 348                       
run 323                       
run 298                       
run 273                       
run 298                       
run 323                       
stop 323                      
run 323                       
kick 323                      
run 348                       
run 373                       
run 398                       
run 423                       
stop 423                      
run 423                       
kick 423                      
run 398                       
run 373                       
run 348                       
run 323                       
run 298                       
run 273                       
run 248                       
run 223                       
stop 223                      
run 223                       
kick 223                      
run 248                       
stop 248                      
run 248                       
kick 248                      
run 273                       
stop 273                      
run 273                       
kick 273                      
run 298                       
stop 298                      
run 298                       
kick 298                      
run 323                       
stop 323                      
run 323                       
kick 323                      
run 348                       
stop 348                      
run 348                       
kick 348                      
run 373                       
stop 373                      
run 373                       
kick 373                      
run 398                       
stop 398                      
run 398                       
kick 398                      
run 423                       
stop 423                      
run 423                       
kick 423                      
run 448                       
stop 448                      
run 448                       
kick 448                      
run 423                       
stop 423                      
run 423                       
kick 423                      
run 398                       
stop 398                      
run 398                       
kick 398                      
stop 398                      
run 398                       
kick 398                      
stop 398                      
run 398                       
kick 398                      
stop 398                      
run 398                       
kick 398                      
run 423                       
run 448                       
run 473                       
run 498                       
run 523                       
stop 523                      
run 523                       
kick 523                      
run 498                       
stop 498                      
run 498                       
kick 498                      
run 473                       
run 448                       
stop 448                      
run 448                       
kick 448                      
run 473                       
