time_ms,scenario,mo_win100
208,0,24
308,0,12
408,0,16
508,0,16
608,0,20
708,0,16
808,0,24
908,0,12
1008,0,16
1108,0,28
1208,0,12
1308,0,24
1408,0,16
1508,0,16
1608,0,20
1708,0,12
1808,0,32
1912,0,28
2012,0,8
2112,0,12
2212,0,20
2312,0,16
2412,0,24
2512,0,16
2612,0,12
2712,0,16
2812,0,20
2912,0,16
3012,0,24
3112,0,36
3212,0,24
3312,0,28
3412,0,20
3512,0,12
3612,0,16
3712,0,20
3812,0,20
3912,0,12
4012,0,16
4112,0,16
4212,0,20
4312,0,16
4416,0,12
4516,0,16
4616,0,24
4716,0,24
4816,0,24
4916,0,20
5016,0,20
5116,0,28
5216,0,16
5316,0,28
5420,0,16
5520,0,20
5620,0,24
5720,0,20
5820,0,20
5920,0,16
6020,0,32
6120,0,16
6220,0,16
6320,0,12
6420,0,20
6520,0,16
6620,0,16
6720,0,16
6820,0,28
6920,0,16
7020,0,16
7120,0,16
7220,0,24
7320,0,16
7420,0,20
7520,0,16
7620,0,16
7720,0,32
7820,0,16
7920,0,28
8020,0,20
8120,0,24
8220,0,12
8320,0,16
8420,0,20
8520,0,16
8620,0,24
8720,0,20
8820,0,20
8924,0,12
9024,0,12
9124,0,24
9224,0,20
9324,0,24
9424,0,20
9524,0,20
9624,0,20
9724,0,20
9824,0,16
9924,0,28
10024,0,12
10124,0,16
10228,0,24
10328,0,20
10428,0,16
10528,0,32
10628,0,24
10728,0,20
10828,0,24
10928,0,28
11028,0,20
11128,0,20
11228,0,28
11328,0,12
11428,0,20
11528,0,20
11628,0,24
11728,0,16
11828,0,12
11928,0,20
12028,0,32
12128,0,12
12228,0,28
12328,0,24
12428,0,16
12528,0,16
12632,0,20
12732,0,36
12832,0,16
12932,0,28
13032,0,20
13132,0,12
13232,0,20
13332,0,24
13432,0,24
13532,0,20
13632,0,20
13732,0,16
13832,0,20
13932,0,12
14032,0,24
14132,0,16
14232,0,20
14332,0,28
14432,0,20
14532,0,20
14632,0,20
14732,0,24
14832,0,16
14932,0,24
15032,0,16
15132,0,20
15232,0,16
15332,0,28
15432,0,24
15532,0,24
15632,0,20
15732,0,20
15832,0,20
15932,0,20
16040,0,124
16140,0,128
16240,0,24
16344,0,28
16444,0,40
16544,0,36
16644,0,24
16744,0,32
16844,0,28
16944,0,20
17044,0,28
17144,0,28
17244,0,24
17344,0,28
17444,0,32
17548,0,36
17648,0,28
17748,0,24
17848,0,32
17948,0,28
18048,0,40
18148,0,20
18248,1,40
18348,1,32
18448,1,24
18548,1,32
18648,1,44
18748,1,28
18848,1,20
18948,1,44
19048,1,28
19148,1,40
19248,1,20
19348,1,12
19448,1,24
19548,1,16
19648,1,20
19748,1,32
19848,1,12
19948,1,28
20052,1,24
20152,1,32
20252,1,32
20352,1,40
20452,1,32
20552,1,28
20652,1,40
20752,1,36
20852,1,44
20952,1,16
21052,1,24
21152,1,20
21252,1,36
21352,1,28
21456,1,24
21556,1,24
21656,1,32
21756,1,40
21856,1,24
21956,1,36
22056,1,40
22156,1,28
22256,1,40
22356,1,20
22456,1,40
22556,1,24
22656,1,28
22756,1,36
22856,1,20
22956,1,32
23056,1,28
23156,1,36
23256,1,36
23356,1,16
23460,1,44
23560,1,36
23660,1,28
23764,1,40
23864,1,40
23964,1,40
24064,1,28
24164,1,36
24264,1,20
24364,1,36
24464,1,32
24564,1,24
24664,1,36
24764,1,36
24868,1,24
24968,1,20
25068,1,28
25168,1,24
25268,1,28
25368,1,36
25468,1,44
25568,1,40
25668,1,40
25768,1,28
25868,1,36
25968,1,36
26068,1,32
26168,1,28
26268,1,40
26368,1,24
26468,1,40
26568,1,44
26668,1,36
26772,1,28
26872,1,32
26972,1,28
27072,1,32
27172,1,36
27272,1,40
27372,1,36
27476,1,20
27576,1,44
27676,1,28
27776,1,20
27876,1,24
27976,1,28
28076,1,28
28176,1,44
28276,1,20
28376,1,36
28476,1,20
28576,1,40
28676,1,24
28776,1,16
28876,1,24
28976,1,24
29076,1,32
29176,1,28
29276,1,12
29376,1,36
29476,1,32
29576,1,28
29676,1,24
29776,1,36
29876,1,16
29976,1,28
30076,1,40
30176,1,24
30276,1,20
30376,1,24
30476,1,24
30576,1,36
30680,1,28
30780,1,24
30880,1,24
30980,1,36
31080,1,28
31184,1,24
31284,1,24
31384,1,24
31484,1,40
31584,1,36
31684,1,28
31784,1,32
31884,1,40
31984,1,40
32084,1,32
32184,1,52
32284,1,24
32384,1,28
32484,1,24
32584,1,40
32684,1,28
32784,1,36
32884,1,28
32984,1,36
33084,1,48
33184,1,20
33284,1,32
33384,1,44
33484,1,20
33584,1,36
33684,1,24
33784,1,28
33884,1,28
33984,1,32
34084,1,36
34184,1,36
34284,1,36
34384,1,32
34484,1,24
34588,1,32
34688,1,32
34788,1,36
34892,1,28
34992,1,32
35092,1,32
35192,1,28
35292,1,28
35392,1,28
35492,1,32
35592,1,32
35692,1,20
35792,1,28
35892,1,32
35993,1,24
36096,1,24
36196,1,24
36296,1,32
36396,1,24
36496,1,40
36596,1,40
36696,1,44
36796,1,28
36896,1,24
36996,1,44
37096,1,40
37196,1,24
37296,1,28
37396,1,24
37496,1,20
37596,1,44
37696,1,24
37796,1,12
37896,1,40
38000,1,32
38100,1,44
38200,0,92
38300,0,152
38400,0,204
38500,0,24
38604,0,180
38704,0,184
38804,0,24
38904,0,24
39004,0,28
39104,0,20
39204,0,36
39304,0,24
39404,0,40
39504,0,32
39604,0,24
39704,0,32
39804,0,44
39904,0,32
40004,0,36
40104,0,36
40204,0,20
40304,0,28
40404,0,40
40504,0,284
40604,0,64
40704,0,24
40804,2,40
40904,2,28
41004,2,40
41104,2,36
41204,2,32
41304,2,36
41404,2,48
41504,2,24
41604,2,32
41704,2,32
41804,2,28
41908,2,36
42008,2,28
42108,2,20
42208,2,36
42312,2,24
42412,2,40
42512,2,32
42612,2,28
42712,2,36
42812,2,544
42912,2,116
43012,2,36
43112,2,36
43212,2,32
43312,2,40
43412,2,24
43512,2,28
43612,2,32
43712,2,36
43812,2,36
43912,2,28
44012,2,36
44112,2,28
44212,2,16
44312,2,28
44412,2,24
44512,2,24
44612,2,32
44712,2,36
44812,2,40
44912,2,40
45012,2,16
45112,2,28
45212,2,28
45312,2,44
45412,2,28
45512,2,32
45612,2,44
45712,2,36
45812,2,40
45912,2,24
46016,2,36
46116,2,36
46216,2,32
46316,2,36
46416,2,24
46516,2,72
46616,2,40
46716,2,128
46816,2,96
46916,2,192
47016,2,104
47116,2,72
47216,2,1316
47316,2,1432
47416,2,84
47516,2,40
47620,2,32
47720,2,36
47820,2,36
47920,2,44
48020,2,72
48120,2,28
48220,2,12
48320,2,36
48420,2,24
48520,2,28
48620,2,44
48720,2,24
48820,2,20
48920,2,28
49020,2,24
49120,2,28
49220,2,24
49320,2,28
49420,2,36
49520,2,28
49620,2,16
49724,2,44
49824,2,24
49924,2,28
50024,2,32
50124,2,28
50224,2,32
50324,2,32
50424,2,32
50524,2,40
50624,2,44
50724,2,20
50824,2,20
50924,2,32
51024,2,44
51124,2,28
51224,2,32
51324,2,24
51424,2,28
51528,2,32
51628,2,1092
51728,2,240
51828,2,340
51928,2,52
52028,2,20
52128,2,32
52228,2,28
52328,2,40
52428,2,20
52528,2,24
52628,2,36
52728,2,36
52828,2,24
52928,2,12
53028,2,32
53128,2,20
53228,2,28
53328,2,28
53432,2,24
53532,2,28
53632,2,28
53732,2,24
53832,2,44
53932,2,24
54032,2,24
54132,2,16
54232,2,24
54332,2,48
54432,2,32
54532,2,28
54632,2,28
54732,2,28
54832,2,32
54932,2,28
55032,2,20
55132,2,20
55232,2,32
55332,2,28
55436,2,36
